inspection_id,date,area,inspector,checklist_item,status,remarks
INS-8221,2025-09-08,Paint - Oven Area,Ajay Kadam,PPE usage by operators,Pass,OK
INS-8222,2025-09-03,Electrical Room,Ajay Kadam,Housekeeping - Floors clean and dry,Pass,OK
INS-8224,2025-09-24,Testing - Dyno Bay,Neeta Kulkarni,Noise levels within limits,Pass,Good
INS-8226,2025-08-11,HVAC Plant,Ramesh Patil,Paint booth filters clean,Pass,Compliant
INS-8227,2025-10-20,Welding - Line 3,Varsha Pawar,Spill kit available,Pass,No issues observed
INS-8228,2025-08-15,Battery Area,Kiran Jadhav,Fire extinguisher pressure OK,Pass,Good
INS-8229,2025-10-01,Rooftop Solar Area,Rutuja Kale,PPE usage by operators,Pass,OK
INS-8231,2025-09-26,Welding - Line 3,Swapnil Gawade,Visitor access control,Pass,Good
INS-8232,2025-10-29,Stores - Chemical Storage,Anita Bhosale,Machine guarding intact,Pass,No issues observed
INS-8233,2025-08-14,Testing - Dyno Bay,Kiran Jadhav,Spill kit available,Pass,OK
INS-8234,2025-10-16,Testing - Dyno Bay,Sunita Gaikwad,PPE usage by operators,Pass,No issues observed
INS-8235,2025-09-08,Office Premises,Sunita Gaikwad,Compressed air hoses in good condition,Pass,Compliant
INS-8238,2025-10-06,Testing - Dyno Bay,Anita Bhosale,PPE usage by operators,Pass,OK
INS-8240,2025-08-25,Electrical Room,Kiran Jadhav,Scaffold inspection up-to-date,Pass,Good
INS-8243,2025-10-06,Rooftop Solar Area,Ramesh Patil,Lighting levels adequate,Pass,No issues observed
INS-8248,2025-09-02,Paint - Oven Area,Anita Bhosale,Material storage stacked safely,Pass,No issues observed
INS-8250,2025-09-23,Battery Area,Rutuja Kale,PPE usage by operators,Pass,No issues observed
INS-8252,2025-10-29,Logistics Yard,Sanjay Mahajan,Ventilation functioning,Pass,OK
INS-8253,2025-09-09,Stores - Chemical Storage,Neeta Kulkarni,Fall protection available at height works,Pass,No issues observed
INS-8254,2025-08-27,Quality Lab,Deepak Raut,Housekeeping - Floors clean and dry,Pass,Good
INS-8257,2025-09-22,Quality Lab,Sagar Dani,Emergency eyewash functional,Pass,No issues observed
INS-8258,2025-10-23,Body Shop - Booth A,Ramesh Patil,Chemical containers labeled,Pass,Compliant
INS-8259,2025-08-06,Welding - Line 1,Ramesh Patil,Compressed air hoses in good condition,Pass,OK
INS-8261,2025-08-23,Battery Area,Kunal Deshmukh,Electrical panels closed and labeled,Pass,OK
INS-8262,2025-08-13,Assembly - Line 6,Ramesh Patil,Machine guarding intact,Pass,OK
INS-8268,2025-10-30,Electrical Room,Ajay Kadam,Chemical containers labeled,Pass,Compliant
INS-8269,2025-09-11,Stamping - Bay 1,Ramesh Patil,Compressed air hoses in good condition,Pass,OK
INS-8270,2025-08-23,Battery Area,Rakesh More,Housekeeping - near ovens,Pass,OK
INS-8271,2025-10-10,Paint - Prep Area,Kunal Deshmukh,Visitor access control,Pass,OK
INS-8272,2025-08-26,Stamping - Bay 1,Mahesh Londhe,Emergency eyewash functional,Pass,OK
INS-8273,2025-09-29,Battery Area,Swapnil Gawade,Electrical panels closed and labeled,Pass,Compliant
INS-8274,2025-09-15,Office Premises,Mahesh Londhe,Torque tool calibration sticker present,Pass,OK
INS-8275,2025-08-18,Stamping - Bay 2,Varsha Pawar,Electrical panels closed and labeled,Pass,No issues observed
INS-8279,2025-10-03,Electrical Room,Sagar Dani,Material storage stacked safely,Pass,OK
INS-8280,2025-10-21,HVAC Plant,Manoj Desai,Toolbox condition,Pass,Good
INS-8284,2025-10-31,Testing - Dyno Bay,Rakesh More,PPE usage by operators,Pass,No issues observed
INS-8285,2025-10-06,Assembly - Line 5,Prakash Yadav,First aid kit stocked,Pass,OK
INS-8286,2025-09-03,Maintenance Workshop,Priya Joshi,Emergency exit unobstructed,Pass,OK
INS-8287,2025-10-02,HVAC Plant,Sunita Gaikwad,Waste segregation bins present,Pass,No issues observed
INS-8288,2025-08-30,Logistics Yard,Ramesh Patil,Ventilation functioning,Pass,No issues observed
INS-8289,2025-08-07,Quality Lab,Vikram Shinde,Fire extinguisher pressure OK,Pass,OK
INS-8291,2025-08-21,Electrical Room,Rakesh More,Forklift parked and keys removed,Pass,Compliant
INS-8292,2025-10-20,Testing - Dyno Bay,Prakash Yadav,Material storage stacked safely,Pass,Good
INS-8293,2025-08-23,Welding - Line 1,Vikram Shinde,Torque tool calibration sticker present,Pass,No issues observed
INS-8294,2025-09-29,Stores - Chemical Storage,Ajay Kadam,Emergency eyewash functional,Pass,OK
INS-8295,2025-10-04,Quality Lab,Rutuja Kale,PPE usage by operators,Pass,Compliant
INS-8296,2025-10-20,Stamping - Bay 2,Prakash Yadav,Housekeeping - near ovens,Pass,No issues observed
INS-8297,2025-10-29,Body Shop - Booth A,Kunal Deshmukh,Cables/trip hazards managed,Pass,Compliant
INS-8298,2025-09-30,Stores - Chemical Storage,Varsha Pawar,Housekeeping - near ovens,Pass,Good
INS-8299,2025-08-26,Underground Tank Area,Mahesh Londhe,Lighting levels adequate,Pass,Good
INS-8300,2025-09-17,HVAC Plant,Anita Bhosale,Fire extinguisher pressure OK,Pass,No issues observed
INS-8302,2025-10-29,Body Shop - Booth A,Ramesh Patil,Visitor access control,Pass,OK
INS-8303,2025-08-12,Paint - Prep Area,Sunita Gaikwad,Battery storage ventilation,Pass,Good
INS-8305,2025-08-04,Assembly - Line 5,Rakesh More,Housekeeping - near ovens,Pass,OK
INS-8306,2025-09-17,Rooftop Solar Area,Sanjay Mahajan,Forklift parked and keys removed,Pass,Good
INS-8307,2025-08-13,Electrical Room,Ramesh Patil,Safety signage visible and legible,Pass,Compliant
INS-8308,2025-10-29,Welding - Line 1,Sagar Dani,Machine guarding intact,Pass,Good
INS-8309,2025-10-25,Paint - Oven Area,Kiran Jadhav,Housekeeping - near ovens,Pass,OK
INS-8310,2025-10-28,Paint - Prep Area,Mahesh Londhe,Waste segregation bins present,Pass,Compliant
INS-8311,2025-08-02,Electrical Room,Kunal Deshmukh,Fall protection available at height works,Pass,Good
INS-8312,2025-08-18,Assembly - Line 5,Kunal Deshmukh,Hot work permits displayed,Pass,Good
INS-8313,2025-09-27,Testing - Dyno Bay,Asha Kulkarni,Housekeeping - near ovens,Pass,Good
INS-8314,2025-09-08,Paint - Oven Area,Deepak Raut,Electrical panels closed and labeled,Pass,Compliant
INS-8315,2025-10-16,Assembly - Line 6,Sagar Dani,Emergency exit unobstructed,Pass,OK
INS-8316,2025-09-30,Assembly - Line 6,Kunal Deshmukh,Machine guarding intact,Pass,Compliant
INS-8317,2025-09-15,Stamping - Bay 1,Ajay Kadam,Safety signage visible and legible,Pass,Good
INS-8318,2025-10-04,Testing - Dyno Bay,Varsha Pawar,Spill kit available,Pass,Compliant
INS-8319,2025-10-08,Maintenance Workshop,Vikram Shinde,Compressed air hoses in good condition,Pass,No issues observed
INS-8320,2025-09-02,Assembly - Line 6,Ajay Kadam,Cables/trip hazards managed,Pass,No issues observed
INS-8322,2025-09-10,HVAC Plant,Kiran Jadhav,Safety signage visible and legible,Pass,No issues observed
INS-8323,2025-10-10,Testing - Dyno Bay,Ramesh Patil,Waste segregation bins present,Pass,No issues observed
INS-8324,2025-09-15,Electrical Room,Jyoti Rane,Cables/trip hazards managed,Pass,No issues observed
INS-8325,2025-10-15,Battery Area,Manoj Desai,Ventilation functioning,Pass,No issues observed
INS-8326,2025-09-06,Logistics Yard,Pooja Nimbalkar,Cables/trip hazards managed,Pass,Compliant
INS-8327,2025-08-01,Quality Lab,Sunita Gaikwad,Torque tool calibration sticker present,Pass,No issues observed
INS-8330,2025-08-27,Welding - Line 1,Manoj Desai,Hydraulic leak check,Pass,No issues observed
INS-8331,2025-09-30,Logistics Yard,Vikram Shinde,Lubrication points greased,Pass,No issues observed
INS-8332,2025-08-23,Assembly - Line 5,Mahesh Londhe,Cables/trip hazards managed,Pass,Good
INS-8334,2025-10-08,Underground Tank Area,Kiran Jadhav,Waste segregation bins present,Pass,OK
INS-8335,2025-09-18,Stores - Chemical Storage,Manoj Desai,Lubrication points greased,Pass,Compliant
INS-8337,2025-09-15,Paint - Oven Area,Meena Pawar,Torque tool calibration sticker present,Pass,No issues observed
INS-8339,2025-08-11,Underground Tank Area,Jyoti Rane,Housekeeping - Floors clean and dry,Pass,No issues observed
INS-8340,2025-09-26,Body Shop - Booth A,Nilesh Chavan,Scaffold inspection up-to-date,Pass,Good
INS-8341,2025-09-18,Welding - Line 3,Rutuja Kale,Emergency eyewash functional,Pass,Good
INS-8342,2025-10-29,Office Premises,Sanjay Mahajan,Fire extinguisher pressure OK,Pass,Compliant
INS-8343,2025-10-25,Rooftop Solar Area,Meena Pawar,Torque tool calibration sticker present,Pass,OK
INS-8346,2025-08-22,Welding - Line 3,Manoj Desai,Visitor access control,Pass,Good
INS-8347,2025-09-24,Paint - Prep Area,Anita Bhosale,PPE usage by operators,Pass,No issues observed
INS-8348,2025-08-05,Welding - Line 1,Sanjay Mahajan,Emergency exit unobstructed,Pass,Compliant
INS-8349,2025-09-05,HVAC Plant,Sunita Gaikwad,Machine guarding intact,Pass,Compliant
INS-8350,2025-09-04,Welding - Line 3,Ajay Kadam,Material storage stacked safely,Pass,No issues observed
INS-8353,2025-09-11,Body Shop - Booth A,Nilesh Chavan,Toolbox condition,Pass,OK
INS-8354,2025-10-13,Logistics Yard,Sagar Dani,Paint booth filters clean,Pass,Good
INS-8355,2025-08-26,Stamping - Bay 2,Mahesh Londhe,Housekeeping - Floors clean and dry,Pass,No issues observed
INS-8356,2025-09-27,Stores - Chemical Storage,Meena Pawar,Emergency eyewash functional,Pass,Compliant
INS-8357,2025-10-31,Assembly - Line 6,Asha Kulkarni,Forklift parked and keys removed,Pass,Compliant
